entry_number,soloist_instrument,soloist_name,soloist_roles,season,program_id,id
40477,Ensemble,Members of the New York Philharmonic Brass,A,2001-02,9086,e900e470-f84f-4095-8409-049073dc4003
40478,Violin,"Dicterow, Glenn",S,2001-02,9051,109336f3-30b2-4cdd-9a72-e93aa0c1dbf3
40479,Ensemble,Members of the New York Philharmonic Brass,A,2001-02,9051,109336f3-30b2-4cdd-9a72-e93aa0c1dbf3
40480,Ensemble,Members of the New York Philharmonic Brass,A,2001-02,13304,ddeed5f1-3228-4306-b264-314292f1ac9c
40481,Violin,"Dicterow, Glenn",S,2001-02,9052,42d97850-090c-421c-be2c-4fbb89e69ff5
40482,Ensemble,Members of the New York Philharmonic Brass,A,2001-02,9052,42d97850-090c-421c-be2c-4fbb89e69ff5
40483,Violin,"Dicterow, Glenn",S,2001-02,9053,f416cefe-0f49-4123-b4c9-845c677a8c1b
40484,Ensemble,Members of the New York Philharmonic Brass,A,2001-02,9053,f416cefe-0f49-4123-b4c9-845c677a8c1b
40485,Piano,"Huang, Helen",S,2001-02,9192,a3846564-60fd-4e33-98cd-4da61ad706d8
40487,Ensemble,Members of the New York Philharmonic Brass,A,2001-02,9192,a3846564-60fd-4e33-98cd-4da61ad706d8
40488,Soprano,"Labelle, Dominique",S,2001-02,9245,e21421da-efcc-4547-89c8-0a0c63dd7684
40489,Mezzo-Soprano,"Yang, Irene",S,2001-02,9245,e21421da-efcc-4547-89c8-0a0c63dd7684
40490,Tenor,"Studebaker, Thomas",S,2001-02,9245,e21421da-efcc-4547-89c8-0a0c63dd7684
40491,Bass,"Dohmen, Albert",S,2001-02,9245,e21421da-efcc-4547-89c8-0a0c63dd7684
40492,Chorus,National Experimental Chorus,S,2001-02,9245,e21421da-efcc-4547-89c8-0a0c63dd7684
40493,Piano,"Huang, Helen",S,2001-02,9246,3b381b79-f886-42e7-b07f-4a4beabfeaec
40495,Ensemble,Members of the New York Philharmonic Brass,A,2001-02,9033,b7f95e48-25bc-4db3-936e-629d89141472
40497,Trumpet,"Smith, Philip",S,2001-02,9017,a02ea228-b05c-48e9-a9cf-06ce46fb287a
40498,Trombone,"Alessi, Joseph",S,2001-02,9017,a02ea228-b05c-48e9-a9cf-06ce46fb287a
40499,Viola,"Phelps, Cynthia",S,2001-02,9017,a02ea228-b05c-48e9-a9cf-06ce46fb287a
40500,Contrabass,"Levinson, Eugene",S,2001-02,9017,a02ea228-b05c-48e9-a9cf-06ce46fb287a
40501,Violin,"Staples, Sheryl",S,2001-02,9017,a02ea228-b05c-48e9-a9cf-06ce46fb287a
40502,Violin,"Kim, Michelle",S,2001-02,9017,a02ea228-b05c-48e9-a9cf-06ce46fb287a
40503,Violin,"Dicterow, Glenn",S,2001-02,9017,a02ea228-b05c-48e9-a9cf-06ce46fb287a
40504,Cello,"Brey, Carter",S,2001-02,9017,a02ea228-b05c-48e9-a9cf-06ce46fb287a
40505,Violin,"Dicterow, Glenn",A,2001-02,9017,a02ea228-b05c-48e9-a9cf-06ce46fb287a
40507,Violin,"Dicterow, Glenn",S,2001-02,9084,49108a11-7d00-41f5-b108-be2e8b4291ca
40508,Cello,"Brey, Carter",S,2001-02,9084,49108a11-7d00-41f5-b108-be2e8b4291ca
40509,Piano,"Bronfman, Yefim",S,2001-02,9085,2c0e9d96-baef-43a8-8bd4-5ab022185cea
40510,Violin,"Kavakos, Leonidas",S,2001-02,9269,6621f4d9-3651-4931-9771-08425b2af86d
40511,Violin,"Kavakos, Leonidas",S,2001-02,9058,3a5d078c-4480-4df1-9c3f-552742741fbb
40512,Cello,"Weilerstein, Alisa",S,2001-02,9270,26a5d927-9788-4868-a3f0-db4bf69b3f83
40513,Cello,"Weilerstein, Alisa",S,2001-02,9059,285e47e9-fdb6-4443-928c-742540dc3586
40514,Soprano,"Mescheriakova, Marina",S,2002-03,9111,037b978e-5351-46e4-ae3f-8bef3cd35bd8
40515,Mezzo-Soprano,"Grove, Jill",S,2002-03,9111,037b978e-5351-46e4-ae3f-8bef3cd35bd8
40516,Tenor,"Schade, Michael",S,2002-03,9111,037b978e-5351-46e4-ae3f-8bef3cd35bd8
40517,Bass,"Pape, Rene (René)",S,2002-03,9111,037b978e-5351-46e4-ae3f-8bef3cd35bd8
40518,Chorus,New York Choral Artists,S,2002-03,9111,037b978e-5351-46e4-ae3f-8bef3cd35bd8
40519,Chorus,New York Choral Artists,S,2002-03,9112,c0a74f2c-51a4-4654-9639-82ed6252e5a5
40520,Children's Chorus,Brooklyn Youth Chorus,S,2002-03,9112,c0a74f2c-51a4-4654-9639-82ed6252e5a5
40521,Sound Design,"Grey, Mark",A,2002-03,9112,c0a74f2c-51a4-4654-9639-82ed6252e5a5
40522,Soprano,"Mescheriakova, Marina",S,2002-03,9112,c0a74f2c-51a4-4654-9639-82ed6252e5a5
40523,Mezzo-Soprano,"Grove, Jill",S,2002-03,9112,c0a74f2c-51a4-4654-9639-82ed6252e5a5
40524,Tenor,"Schade, Michael",S,2002-03,9112,c0a74f2c-51a4-4654-9639-82ed6252e5a5
40525,Bass,"Pape, Rene (René)",S,2002-03,9112,c0a74f2c-51a4-4654-9639-82ed6252e5a5
40527,Chorus,New York Choral Artists,S,2002-03,9253,414b9550-7a00-4fd0-9435-ed7b0a23b331
40528,Children's Chorus,Brooklyn Youth Chorus,S,2002-03,9253,414b9550-7a00-4fd0-9435-ed7b0a23b331
40529,Sound Design,"Grey, Mark",A,2002-03,9253,414b9550-7a00-4fd0-9435-ed7b0a23b331
40530,Soprano,"Mescheriakova, Marina",S,2002-03,9253,414b9550-7a00-4fd0-9435-ed7b0a23b331
40531,Mezzo-Soprano,"Grove, Jill",S,2002-03,9253,414b9550-7a00-4fd0-9435-ed7b0a23b331
40532,Tenor,"Studebaker, Thomas",S,2002-03,9253,414b9550-7a00-4fd0-9435-ed7b0a23b331
40533,Bass,"Rose, Peter",S,2002-03,9253,414b9550-7a00-4fd0-9435-ed7b0a23b331
40535,Piano,"Thibaudet, Jean-Yves",S,2002-03,9113,2ec5907c-4d09-4d62-ab22-d673578fca45
40536,Piano,"Lang, Lang",S,2002-03,9114,0838822f-bd74-4d08-8afd-f573f56a7387
40537,Flute,"Langevin, Robert",A,2002-03,9286,8f8e30fa-a43a-4f39-afe5-64a2cb5295b9
40538,Viola,"Kenote, Peter",A,2002-03,9286,8f8e30fa-a43a-4f39-afe5-64a2cb5295b9
40539,Harp,"Allen, Nancy",A,2002-03,9286,8f8e30fa-a43a-4f39-afe5-64a2cb5295b9
40541,Oboe,"Sylar, Sherry",A,2002-03,9286,8f8e30fa-a43a-4f39-afe5-64a2cb5295b9
40542,Clarinet,"Nuccio, Mark",A,2002-03,9286,8f8e30fa-a43a-4f39-afe5-64a2cb5295b9
40543,Bassoon,"LeClair, Judith",A,2002-03,9286,8f8e30fa-a43a-4f39-afe5-64a2cb5295b9
40544,French Horn,"Ralske, Erik",A,2002-03,9286,8f8e30fa-a43a-4f39-afe5-64a2cb5295b9
40546,French Horn,"Spanjer, R. Allen",A,2002-03,9286,8f8e30fa-a43a-4f39-afe5-64a2cb5295b9
40547,French Horn,"Wall, Howard",A,2002-03,9286,8f8e30fa-a43a-4f39-afe5-64a2cb5295b9
40548,Trombone,"Finlayson, David",A,2002-03,9286,8f8e30fa-a43a-4f39-afe5-64a2cb5295b9
40549,Violin,"Kim, Lisa",A,2002-03,9286,8f8e30fa-a43a-4f39-afe5-64a2cb5295b9
40550,Violin,"Kwon, Soohyun",A,2002-03,9286,8f8e30fa-a43a-4f39-afe5-64a2cb5295b9
40551,Viola,"Hannay, Dawn",A,2002-03,9286,8f8e30fa-a43a-4f39-afe5-64a2cb5295b9
40552,Cello,"Dyson, Elizabeth",A,2002-03,9286,8f8e30fa-a43a-4f39-afe5-64a2cb5295b9
40553,Piano,"Lang, Lang",S,2002-03,9276,d9abd890-699e-4080-b4ed-b9f34eacf275
40555,Piano,"Lang, Lang",S,2002-03,9282,6bcd172f-c3d9-474c-8bb1-21d8d5e1198c
40556,Piano,"Lang, Lang",S,2002-03,9279,49f0a208-e304-4b2b-8624-5f0bb7e9352b
40558,Piano,"Lang, Lang",S,2002-03,9160,cf9e2a23-e3ff-4d29-8798-3b3752d5ecf6
40560,Piano,"Lang, Lang",S,2002-03,9161,64318618-82eb-44d0-838c-201e124c6b16
40561,Piano,"Lang, Lang",S,2002-03,9162,dca5cd23-702c-4309-948e-72f76bb4fab6
40563,Piano,"Goode, Richard",S,2002-03,9117,634de09a-be53-406a-87b9-ff77f95b9f1f
40564,Soprano,"Welch-Babidge, Jennifer",S,2002-03,9055,1abb0d42-45f3-4694-a3a7-74645f253753
40565,Baritone,"Rahming, Gregory Emanuel",S,2002-03,9055,1abb0d42-45f3-4694-a3a7-74645f253753
40574,Soprano,"Welch-Babidge, Jennifer",S,2002-03,9076,6f18a534-48c9-4bcd-8da3-37f0b0885873
40575,Baritone,"Rahming, Gregory Emanuel",S,2002-03,9076,6f18a534-48c9-4bcd-8da3-37f0b0885873
40578,Sing-Along,Audience,A,2002-03,9076,6f18a534-48c9-4bcd-8da3-37f0b0885873
40582,Tenor,"Bostridge, Ian",S,2002-03,9118,601ea93a-be33-4dde-a3db-fca5475f3ee2
40583,Violin,"Tsypin, Vladimir",A,2002-03,9287,f9e5e1cf-2767-43cd-93e7-b94b9f666570
40584,Violin,"Ziskel, Yulia",A,2002-03,9287,f9e5e1cf-2767-43cd-93e7-b94b9f666570
40585,Violin,"Simon, Fiona",A,2002-03,9287,f9e5e1cf-2767-43cd-93e7-b94b9f666570
40586,Viola,"Nelson, Judith",A,2002-03,9287,f9e5e1cf-2767-43cd-93e7-b94b9f666570
40587,Cello,"Donaruma, Nancy",A,2002-03,9287,f9e5e1cf-2767-43cd-93e7-b94b9f666570
40588,Piano,"Wingreen, Harriet",A,2002-03,9287,f9e5e1cf-2767-43cd-93e7-b94b9f666570
40589,Violin,"Staples, Sheryl",A,2002-03,9287,f9e5e1cf-2767-43cd-93e7-b94b9f666570
40590,Cello,"Ni, Hai-Ye",A,2002-03,9287,f9e5e1cf-2767-43cd-93e7-b94b9f666570
40591,Piano,"Jeanney, Helene (Hélène)",A,2002-03,9287,f9e5e1cf-2767-43cd-93e7-b94b9f666570
40592,Violin,"Staples, Sheryl",A,2002-03,9862,664a85c9-6c08-41f9-ad09-530ad1641c09
40593,Cello,"Ni, Hai-Ye",A,2002-03,9862,664a85c9-6c08-41f9-ad09-530ad1641c09
40594,Piano,"Jeanney, Helene (Hélène)",A,2002-03,9862,664a85c9-6c08-41f9-ad09-530ad1641c09
40595,Baritone,"Hvorostovsky, Dmitri",S,2002-03,9119,fa88bce8-5852-4b4c-8655-36e546cc5680
