entry_number,soloist_instrument,soloist_name,soloist_roles,season,program_id,id
0,Soprano,"Otto, Antoinette",S,1842-43,3853,38e072a7-8fc9-4f9a-8eac-3957905c0002
1,Piano,"Scharfenberg, William",A,1842-43,3853,38e072a7-8fc9-4f9a-8eac-3957905c0002
2,Violin,"Hill, Ureli Corelli",A,1842-43,3853,38e072a7-8fc9-4f9a-8eac-3957905c0002
3,Viola,"Derwort, G. H.",A,1842-43,3853,38e072a7-8fc9-4f9a-8eac-3957905c0002
4,Cello,"Boucher, Alfred",A,1842-43,3853,38e072a7-8fc9-4f9a-8eac-3957905c0002
5,Contrabass,"Rosier, F. W.",A,1842-43,3853,38e072a7-8fc9-4f9a-8eac-3957905c0002
7,Tenor,"Horn, Charles Edward",S,1842-43,3853,38e072a7-8fc9-4f9a-8eac-3957905c0002
10,Soprano,"Otto, Antoinette",S,1842-43,5178,c7b2b95c-5e0b-431c-a340-5b37fc860b34
11,Cello,"Boucher, Alfred",S,1842-43,5178,c7b2b95c-5e0b-431c-a340-5b37fc860b34
13,Piano,"Timm, Henry C.",S,1842-43,5178,c7b2b95c-5e0b-431c-a340-5b37fc860b34
15,Soprano,"Otto, Antoinette",S,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
16,Piano,"Timm, Henry C.",A,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
17,Piano,"Scharfenberg, William",S,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
20,Cello,"Boucher, Alfred",S,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
22,Flute,Lehman,A,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
23,Clarinet,"Groneveldt, Theodore W.",A,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
24,Bassoon,"Hegelund, H. W.",A,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
25,French Horn,"Woehning, F. C.",A,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
26,Contrabass,"Rosier, F. W.",A,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
27,,,,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
35,Piano,"Rakeman, Frederick",S,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
43,Oboe,"Wiese, Frederick",A,1842-43,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
47,Vocalist,"Loder, Edward",S,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
48,Clarinet,"Gröneveldt, W. Theodore",A,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
49,Bassoon,"Reiff, Anton, Sr.",A,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
50,French Horn,"Trojsi, Gaetano",A,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
51,Violin,"Hill, Ureli Corelli",A,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
52,Viola,"Wiegers, Louis",A,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
53,Cello,"Boucher, Alfred",A,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
54,Contrabass,"Rosier, F. W.",A,1842-43,5887,34ec2c2b-3297-4716-9831-b538310462b7
56,Soprano,"Castellan, Jeanne Anais",S,1843-44,305,610a4acc-94e4-4cd6-bdc1-8ad020edc7e9
58,Soprano,"Castellan, Jeanne Anais",S,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
59,Piano,"Scharfenberg, William",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
60,Flute,"Kyle, John A.",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
61,French Horn,"Woehning, F. C.",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
62,Cello,"Boucher, Alfred",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
63,Oboe,"Wiese, Frederick",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
64,Tenor,Johnson,A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
65,Contrabass,"Rosier, F. W.",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
76,Clarinet,"Gröneveldt, W. Theodore",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
78,Bassoon,"Reiff, Anton, Sr.",A,1843-44,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
84,Flute,"Kyle, John A.",A,1843-44,4226,5e533e4f-d4ac-4aaa-b8d2-e189f6806655
85,Clarinet,"Gröneveldt, W. Theodore",A,1843-44,4226,5e533e4f-d4ac-4aaa-b8d2-e189f6806655
86,Piano,"Timm, Henry C.",S,1843-44,4226,5e533e4f-d4ac-4aaa-b8d2-e189f6806655
87,Violin,"Vieuxtemps, Henri",S,1843-44,5087,7550f75e-5c0c-4519-9196-05a6c4e2612c
88,Tenor,Valtellina,S,1843-44,5087,7550f75e-5c0c-4519-9196-05a6c4e2612c
89,Vocalist,"Ricci, Amalia",S,1844-45,6310,91f716fc-090d-4c3b-85da-41122eb3fe96
90,Vocalist,Sanquirico,S,1844-45,6310,91f716fc-090d-4c3b-85da-41122eb3fe96
93,Vocalist,"Loder, Edward",S,1844-45,1979,253d22e1-9d44-410c-ae06-61abe434e5ec
94,Clarinet,"Gröneveldt, W. Theodore",S,1844-45,1979,253d22e1-9d44-410c-ae06-61abe434e5ec
97,Vocalist,De Luce,S,1844-45,1979,253d22e1-9d44-410c-ae06-61abe434e5ec
98,Vocalist,Munson,S,1844-45,1979,253d22e1-9d44-410c-ae06-61abe434e5ec
99,Vocalist,"Massett, J. Schwartz",S,1844-45,1979,253d22e1-9d44-410c-ae06-61abe434e5ec
100,Vocalist,Arnoult,S,1844-45,2821,6285c981-8e21-4ef1-afb2-634844dd7edb
101,Flute,"Kyle, John A.",A,1844-45,2821,6285c981-8e21-4ef1-afb2-634844dd7edb
102,Oboe,"Wiese, Frederick",A,1844-45,2821,6285c981-8e21-4ef1-afb2-634844dd7edb
103,Clarinet,"Gröneveldt, W. Theodore",A,1844-45,2821,6285c981-8e21-4ef1-afb2-634844dd7edb
104,Bassoon,"Reiff, Anton, Sr.",A,1844-45,2821,6285c981-8e21-4ef1-afb2-634844dd7edb
105,French Horn,"Trojsi, Gaetano",A,1844-45,2821,6285c981-8e21-4ef1-afb2-634844dd7edb
107,Flute,"Kyle, John A.",S,1844-45,2821,6285c981-8e21-4ef1-afb2-634844dd7edb
108,Clarinet,"Gröneveldt, W. Theodore",S,1844-45,2821,6285c981-8e21-4ef1-afb2-634844dd7edb
109,Soprano,"Otto, Antoinette",S,1844-45,3259,bd29d7be-ee14-4362-ae93-4d9c8a535804
110,Piano,"Timm, Henry C.",S,1844-45,3259,bd29d7be-ee14-4362-ae93-4d9c8a535804
112,Vocalist,Mott,S,1845-46,4919,4b37d068-0d4b-4ba8-8885-5abefa261e91
113,Harp,"Lazare, Jenny",S,1845-46,4919,4b37d068-0d4b-4ba8-8885-5abefa261e91
115,Piano,"Wollenhauft, Hermann",S,1845-46,4919,4b37d068-0d4b-4ba8-8885-5abefa261e91
116,Piano,"Timm, Henry C.",S,1845-46,562,119e0eaf-077f-49f2-b396-6f7b179fe2d8
117,Flute,"Kyle, John A.",A,1845-46,562,119e0eaf-077f-49f2-b396-6f7b179fe2d8
118,Clarinet,"Starck, F.",A,1845-46,562,119e0eaf-077f-49f2-b396-6f7b179fe2d8
119,Oboe,"Wiese, Frederick",A,1845-46,562,119e0eaf-077f-49f2-b396-6f7b179fe2d8
120,French Horn,"Trojsi, Gaetano",A,1845-46,562,119e0eaf-077f-49f2-b396-6f7b179fe2d8
121,Bassoon,"Reiff, Anton, Sr.",A,1845-46,562,119e0eaf-077f-49f2-b396-6f7b179fe2d8
122,Violin,"Burke, Joseph",S,1845-46,562,119e0eaf-077f-49f2-b396-6f7b179fe2d8
123,Vocalist,"Northall, Julia",S,1845-46,1408,676bc63e-0f45-49cd-af5a-f36c31e986a1
125,Flute,"Kyle, John A.",S,1845-46,1408,676bc63e-0f45-49cd-af5a-f36c31e986a1
126,Cornet,"Dodworth, Allen",S,1845-46,1851,fb00e4fb-d935-4b13-aa85-06a4d8d89a16
127,Cornet,"Dodworth, Harvey B.",S,1845-46,1851,fb00e4fb-d935-4b13-aa85-06a4d8d89a16
128,Vocalist,"Northall, Julia",S,1845-46,2321,7f9997cb-c3a4-4fc5-b241-2348944ef999
129,Soprano,"Otto, Antoinette",S,1845-46,2321,7f9997cb-c3a4-4fc5-b241-2348944ef999
130,Piano,"Timm, Henry C.",S,1845-46,2321,7f9997cb-c3a4-4fc5-b241-2348944ef999
131,Vocalist,Pico,S,1845-46,2321,7f9997cb-c3a4-4fc5-b241-2348944ef999
132,Piano,Beames,A,1845-46,2321,7f9997cb-c3a4-4fc5-b241-2348944ef999
134,Alto,Boulard,S,1845-46,2321,7f9997cb-c3a4-4fc5-b241-2348944ef999
135,Tenor,Munson,S,1845-46,2321,7f9997cb-c3a4-4fc5-b241-2348944ef999
136,Bass,Mayer,S,1845-46,2321,7f9997cb-c3a4-4fc5-b241-2348944ef999
137,Piano,"Timm, Henry C.",S,1846-47,3540,a7ac4233-c065-41e7-9a36-9a5e3f5daa7b
138,Vocalist,Ablamowicz,S,1846-47,6573,f93b6dcc-2657-44f6-a69d-0d1a5f9dd396
140,Violin,"Heuckeroth, Charles",S,1846-47,6573,f93b6dcc-2657-44f6-a69d-0d1a5f9dd396
141,Vocalist,"Loder, Edward",S,1846-47,47,b0704cd5-728d-4886-8445-2b0edb1abeb6
142,Flute,"Kyle, John A.",A,1846-47,47,b0704cd5-728d-4886-8445-2b0edb1abeb6
143,Piano,"Timm, Henry C.",A,1846-47,47,b0704cd5-728d-4886-8445-2b0edb1abeb6
145,Oboe,De Ribas,S,1846-47,450,343cfe16-cb4f-4557-9ed1-9a14e0725d71
146,Mens Chorus,Liederkranz of the City of New York,S,1846-47,450,343cfe16-cb4f-4557-9ed1-9a14e0725d71
147,Violin,"Rapetti, M.",S,1846-47,450,343cfe16-cb4f-4557-9ed1-9a14e0725d71
149,Vocalist,"Horn, C.E.",S,1847-48,2178,2634f6cb-16ee-4e4b-bd16-827db923e294
150,Piano,"Hoffman, Richard",S,1847-48,2178,2634f6cb-16ee-4e4b-bd16-827db923e294
152,Piano,"Scharfenberg, William",S,1847-48,5195,5c46b292-230b-48ba-b4bd-36488059102d
153,Piano,"Timm, Henry C.",S,1847-48,5195,5c46b292-230b-48ba-b4bd-36488059102d
154,Vocalist,Arthurson,S,1847-48,6064,eb21a5b0-ea39-46f5-ba6b-d9dc2d06a457
155,Flute,"Kyle, John A.",A,1847-48,6064,eb21a5b0-ea39-46f5-ba6b-d9dc2d06a457
156,Clarinet,"Starck, F.",A,1847-48,6064,eb21a5b0-ea39-46f5-ba6b-d9dc2d06a457
157,Oboe,"Wiese, Frederick",A,1847-48,6064,eb21a5b0-ea39-46f5-ba6b-d9dc2d06a457
158,French Horn,"Woehning, F. C.",A,1847-48,6064,eb21a5b0-ea39-46f5-ba6b-d9dc2d06a457
159,Bassoon,"Reiff, Anton, Sr.",A,1847-48,6064,eb21a5b0-ea39-46f5-ba6b-d9dc2d06a457
161,Vocalist,Arthurson,S,1847-48,6493,ab75ad47-55de-4119-b0b6-2b1bca15270e
162,Piano,"Scharfenberg, William",S,1847-48,6493,ab75ad47-55de-4119-b0b6-2b1bca15270e
163,Vocalist,"Leach, S. L.",S,1847-48,6493,ab75ad47-55de-4119-b0b6-2b1bca15270e
164,Cello,"Boucher, Alfred",A,1847-48,6493,ab75ad47-55de-4119-b0b6-2b1bca15270e
167,Violin,"Elena, Luigi",S,1848-49,1171,0228e89c-95a8-468e-90d8-de5ec1e80969
168,Piano,"Hoffman, Richard",S,1848-49,1171,0228e89c-95a8-468e-90d8-de5ec1e80969
169,Bassoon,"Eltz, Paul",S,1848-49,2607,f5995882-6ab3-4476-8589-d7f528aa2835
170,Trumpet,"Haase, Carl F.W.",S,1848-49,2607,f5995882-6ab3-4476-8589-d7f528aa2835
171,French Horn,"Schmitz, Henry",S,1848-49,3931,37c8e3b1-78f7-43ad-ac76-5a6aec6950b7
172,Piano,"Scharfenberg, William",S,1848-49,3931,37c8e3b1-78f7-43ad-ac76-5a6aec6950b7
173,Piano,"Dresel, Otto",S,1848-49,3931,37c8e3b1-78f7-43ad-ac76-5a6aec6950b7
174,Saxhorn,"Distin, and His Sons",S,1848-49,5300,a7c94524-c8d5-4b06-97df-bdb2d6c20fd3
175,Piano,"Willy, J.",A,1848-49,5300,a7c94524-c8d5-4b06-97df-bdb2d6c20fd3
178,Piano,"Timm, Henry C.",A,1848-49,5300,a7c94524-c8d5-4b06-97df-bdb2d6c20fd3
179,Flute,"Kyle, John A.",A,1848-49,5300,a7c94524-c8d5-4b06-97df-bdb2d6c20fd3
180,Oboe,"Wiese, Frederick",A,1848-49,5300,a7c94524-c8d5-4b06-97df-bdb2d6c20fd3
181,French Horn,"Schmitz, Henry",A,1848-49,5300,a7c94524-c8d5-4b06-97df-bdb2d6c20fd3
182,Tenor,Poppenberg,A,1848-49,5300,a7c94524-c8d5-4b06-97df-bdb2d6c20fd3
183,Cello,"Boucher, Alfred",A,1848-49,5300,a7c94524-c8d5-4b06-97df-bdb2d6c20fd3
184,Contrabass,"Jacoby, Charles W.",A,1848-49,5300,a7c94524-c8d5-4b06-97df-bdb2d6c20fd3
185,Flute,"Kyle, John A.",S,1849-50,7278,af79d260-a728-41e3-ad8c-bb6120d613b7
186,Violin,"Burke, Joseph",S,1849-50,7278,af79d260-a728-41e3-ad8c-bb6120d613b7
187,Piano,"Scharfenberg, William",S,1849-50,571,ea6c3d86-3c3b-466f-88f3-a1dd3e7ad516
188,Flute,"Reitzel, F.",A,1849-50,571,ea6c3d86-3c3b-466f-88f3-a1dd3e7ad516
189,Oboe,"Wiese, Frederick",A,1849-50,571,ea6c3d86-3c3b-466f-88f3-a1dd3e7ad516
190,Clarinet,"Starck, F.",A,1849-50,571,ea6c3d86-3c3b-466f-88f3-a1dd3e7ad516
191,Bassoon,"Eltz, Paul",A,1849-50,571,ea6c3d86-3c3b-466f-88f3-a1dd3e7ad516
192,French Horn,"Schmitz, Henry",A,1849-50,571,ea6c3d86-3c3b-466f-88f3-a1dd3e7ad516
193,Womens Chorus,Chorus,S,1849-50,1907,15aadffc-bfa6-4dbc-9120-a47effb75481
194,Vocalist,De Luce,S,1849-50,1907,15aadffc-bfa6-4dbc-9120-a47effb75481
195,Vocalist,"Jones, L. A.",S,1849-50,1907,15aadffc-bfa6-4dbc-9120-a47effb75481
197,Piano,"Timm, Henry C.",S,1849-50,6269,00894e03-f660-42df-a3a9-4b8ca60df7f2
198,Violin,"Noll, Joseph",S,1849-50,6269,00894e03-f660-42df-a3a9-4b8ca60df7f2
199,Violin,"Bristow, George Frederick",S,1849-50,6269,00894e03-f660-42df-a3a9-4b8ca60df7f2
200,Violin,"Reyer, H.",S,1849-50,6269,00894e03-f660-42df-a3a9-4b8ca60df7f2
201,Violin,"Perkins, James W.",S,1849-50,6269,00894e03-f660-42df-a3a9-4b8ca60df7f2
202,Piano,"Benedict, Jules",S,1850-51,792,9f9f87a1-c71a-42ba-ae76-85b348ce60d4
203,Piano,"Timm, Henry C.",S,1850-51,792,9f9f87a1-c71a-42ba-ae76-85b348ce60d4
204,French Horn,"Schmitz, Henry",S,1850-51,792,9f9f87a1-c71a-42ba-ae76-85b348ce60d4
205,Violin,"Noll, Joseph",S,1850-51,1443,25180640-72fd-4781-b630-285daae1aa73
206,Mens Chorus,Liederkranz of the City of New York,S,1850-51,1443,25180640-72fd-4781-b630-285daae1aa73
207,Piano,"Bristow, George Frederick",S,1850-51,2806,e6ec1d38-ff03-4274-8b64-e40c7a6539c9
208,Piano,"Scharfenberg, William",S,1850-51,7161,b619ac44-4294-40d8-9ff9-f7a0258e0ecb
209,Flute,"Reitzel, F.",S,1850-51,7161,b619ac44-4294-40d8-9ff9-f7a0258e0ecb
210,Vocalist,"Bouchelle, Wallace",S,1850-51,7161,b619ac44-4294-40d8-9ff9-f7a0258e0ecb
211,Violin,"Noll, Joseph",S,1850-51,7161,b619ac44-4294-40d8-9ff9-f7a0258e0ecb
212,Violin,"Reyer, H.",S,1850-51,7161,b619ac44-4294-40d8-9ff9-f7a0258e0ecb
214,Violin,"Appy, Henri",S,1851-52,1666,0ad70f6e-81e5-42ea-a21e-67e09fc1bd6c
215,Baritone,"Mayer, Philip",S,1851-52,1666,0ad70f6e-81e5-42ea-a21e-67e09fc1bd6c
216,Clarinet,"Drescher, J. E.",S,1851-52,1666,0ad70f6e-81e5-42ea-a21e-67e09fc1bd6c
217,Piano,"Goldschmidt, Otto",S,1851-52,2377,c639d3d5-b22f-4b28-9c54-c57557f5a367
218,Flute,"Reitzel, F.",A,1851-52,2377,c639d3d5-b22f-4b28-9c54-c57557f5a367
219,Oboe,"Ohlemann, L.",A,1851-52,2377,c639d3d5-b22f-4b28-9c54-c57557f5a367
220,Clarinet,"Drescher, J. E.",A,1851-52,2377,c639d3d5-b22f-4b28-9c54-c57557f5a367
221,French Horn,"Schmitz, Henry",A,1851-52,2377,c639d3d5-b22f-4b28-9c54-c57557f5a367
222,Bassoon,"Eltz, Paul",A,1851-52,2377,c639d3d5-b22f-4b28-9c54-c57557f5a367
228,Vocalist,"Bouchelle, Wallace",S,1851-52,6717,3168906d-60c9-40ca-b02b-f3b72488b4e7
229,Violin,"Burke, Joseph",S,1851-52,6717,3168906d-60c9-40ca-b02b-f3b72488b4e7
230,Vocalist,Klein,S,1851-52,6717,3168906d-60c9-40ca-b02b-f3b72488b4e7
231,Piano,"Saar, William",S,1851-52,6717,3168906d-60c9-40ca-b02b-f3b72488b4e7
234,Vocalist,"Bostwick, Emma Gillingham",S,1851-52,682,ea2e47d7-a14e-4534-8bf2-2293010a9ea2
235,Piano,"Scharfenberg, William",S,1851-52,682,ea2e47d7-a14e-4534-8bf2-2293010a9ea2
237,Flute,"Eben, Felix J.",A,1851-52,682,ea2e47d7-a14e-4534-8bf2-2293010a9ea2
238,Trumpet,"Haase, Carl F.W.",S,1851-52,682,ea2e47d7-a14e-4534-8bf2-2293010a9ea2
240,Piano,"Timm, Henry C.",S,1851-52,682,ea2e47d7-a14e-4534-8bf2-2293010a9ea2
241,Vocalist,"Tourny, Mina",S,1852-53,2574,a9b31227-e23a-4946-bdb9-08e079aeb3d5
242,Vocalist,"Tourny, Louisa",S,1852-53,2574,a9b31227-e23a-4946-bdb9-08e079aeb3d5
245,Piano,"Timm, Henry C.",S,1852-53,2574,a9b31227-e23a-4946-bdb9-08e079aeb3d5
247,Violin,"Noll, Joseph",S,1852-53,2574,a9b31227-e23a-4946-bdb9-08e079aeb3d5
248,Violin,"Reyer, H.",S,1852-53,2574,a9b31227-e23a-4946-bdb9-08e079aeb3d5
249,Cello,"Eichhorn, Louis",S,1852-53,2574,a9b31227-e23a-4946-bdb9-08e079aeb3d5
251,Vocalist,Siedenburg,S,1852-53,3266,062c5158-7614-4e69-93b7-7068f36dcc01
252,Violin,"Julien, Paul",S,1852-53,3266,062c5158-7614-4e69-93b7-7068f36dcc01
254,Violin,"Burke, Joseph",S,1852-53,4607,8a7c6b4f-70e5-4eb8-a263-30977944879f
255,Vocalist,Root's Quartette Party,S,1852-53,4607,8a7c6b4f-70e5-4eb8-a263-30977944879f
256,Flute,"Kyle, John A.",S,1852-53,4607,8a7c6b4f-70e5-4eb8-a263-30977944879f
257,Clarinet,"Gröneveldt, W. Theodore",S,1852-53,4607,8a7c6b4f-70e5-4eb8-a263-30977944879f
259,Vocalist,"Jaques, Rosa",S,1852-53,1583,448b67aa-7f67-454a-8562-b26fd6a68b6c
260,Baritone,"Mayer, Philip",S,1852-53,1583,448b67aa-7f67-454a-8562-b26fd6a68b6c
261,Piano,"Gockel, August",S,1852-53,1583,448b67aa-7f67-454a-8562-b26fd6a68b6c
265,Harp,"Aptommas, Thomas",S,1853-54,513,b7e89b3a-b7bf-4848-8911-1ee57808eb2e
266,Vocalist,"Bostwick, Emma Gillingham",S,1853-54,513,b7e89b3a-b7bf-4848-8911-1ee57808eb2e
267,Violin,"Hahn, C.",S,1853-54,513,b7e89b3a-b7bf-4848-8911-1ee57808eb2e
270,Soprano,"Brainerd, Maria S.",S,1853-54,1191,362c1cc8-ddb6-4302-9f02-e217603b0a11
271,Bassoon,"Eltz, Paul",S,1853-54,1191,362c1cc8-ddb6-4302-9f02-e217603b0a11
273,Vocalist,"Schumann, Julius",S,1853-54,2561,3c9fb7f8-6b5a-4f97-8d82-fe18d36199bb
274,Violin,"Burke, Joseph",S,1853-54,2561,3c9fb7f8-6b5a-4f97-8d82-fe18d36199bb
275,Piano,"Hoffman, Richard",S,1853-54,2561,3c9fb7f8-6b5a-4f97-8d82-fe18d36199bb
278,Baritone,"Mayer, Philip",S,1853-54,6902,bdec9303-3367-41e2-abd3-9eb9f9a4e145
279,French Horn,"Schmitz, Henry",S,1853-54,6902,bdec9303-3367-41e2-abd3-9eb9f9a4e145
280,French Horn,"Knaebel, Simon",S,1853-54,6902,bdec9303-3367-41e2-abd3-9eb9f9a4e145
281,Piano,"Wallace, William Vincent",S,1853-54,6902,bdec9303-3367-41e2-abd3-9eb9f9a4e145
282,Piano,"Wallace, W.V.",S,1853-54,6902,bdec9303-3367-41e2-abd3-9eb9f9a4e145
284,Soprano,"Lehmann, Caroline",S,1854-55,5792,9b5939a4-eda0-4656-b627-2ec4452402d1
285,Harp,"Aptommas, Thomas",S,1854-55,5792,9b5939a4-eda0-4656-b627-2ec4452402d1
286,Harp,"Aptommas, Thomas",A,1854-55,5792,9b5939a4-eda0-4656-b627-2ec4452402d1
288,Clarinet,"Kiefer, Xavier",S,1854-55,5792,9b5939a4-eda0-4656-b627-2ec4452402d1
289,Soprano,"Lehmann, Caroline",S,1854-55,2149,762144db-12d2-423b-96df-56495268d23f
290,Violin,"Urso, Camilla",S,1854-55,2149,762144db-12d2-423b-96df-56495268d23f
292,Cornet,"Schreiber, Louis",S,1854-55,2149,762144db-12d2-423b-96df-56495268d23f
293,Baritone,"Mayer, Philip",S,1854-55,3474,611a40fd-6ce6-41c0-b7d3-f49a6ae9fdb8
294,Vocalist,"Stuart, Georgiana R.",S,1854-55,3474,611a40fd-6ce6-41c0-b7d3-f49a6ae9fdb8
295,Piano,"Satter, Gustave",S,1854-55,3474,611a40fd-6ce6-41c0-b7d3-f49a6ae9fdb8
298,Chorus,Mendelssohn Union,S,1854-55,421,ef085f72-0960-4679-bc4b-6ce9bf603d91
299,Vocalist,"Brinkerhoff, Clara",S,1854-55,421,ef085f72-0960-4679-bc4b-6ce9bf603d91
300,Vocalist,Unknown Soloist,S,1854-55,421,ef085f72-0960-4679-bc4b-6ce9bf603d91
303,Piano,"Mason, William",S,1854-55,421,ef085f72-0960-4679-bc4b-6ce9bf603d91
304,Vocalist,"Dingley, C. A.",S,1854-55,421,ef085f72-0960-4679-bc4b-6ce9bf603d91
306,Clarinet,"Kiefer, Xavier",S,1854-55,6613,e36aabf6-55d3-4adb-81d6-72166b198550
307,Soprano,"Lehmann, Caroline",S,1854-55,6613,e36aabf6-55d3-4adb-81d6-72166b198550
308,Trumpet,"Schreiber, Louis",S,1854-55,6613,e36aabf6-55d3-4adb-81d6-72166b198550
310,Piano,"Timm, Henry C.",A,1854-55,6613,e36aabf6-55d3-4adb-81d6-72166b198550
311,Piano,"Hoffman, Richard",S,1854-55,6613,e36aabf6-55d3-4adb-81d6-72166b198550
313,Vocalist,"Feder, Otto",S,1855-56,2339,f26146e1-f082-4fbc-bf9a-7afb893143ac
314,Violin,"Mollenhauer, Edward",S,1855-56,2339,f26146e1-f082-4fbc-bf9a-7afb893143ac
315,Violin,"Mollenhauer, Friedrich",S,1855-56,2339,f26146e1-f082-4fbc-bf9a-7afb893143ac
319,Baritone,"Badiali, Caesare",S,1855-56,3023,7b2b4f27-4505-461a-a7f7-578dfed97326
320,French Horn,"Schmitz, Henry",S,1855-56,3023,7b2b4f27-4505-461a-a7f7-578dfed97326
321,Harp,"Aptommas, Thomas",S,1855-56,3023,7b2b4f27-4505-461a-a7f7-578dfed97326
323,Piano,"Hoffman, Richard",S,1855-56,4355,ac170513-4ec5-496d-bac7-13a8dc8d15cd
324,Violin,"Burke, Joseph",S,1855-56,4355,ac170513-4ec5-496d-bac7-13a8dc8d15cd
325,Violin,"Mollenhauer, Edward",S,1855-56,1292,20a62563-d930-4acb-9cb8-750fe82c15ce
326,Baritone,"Badiali, Caesare",S,1855-56,1292,20a62563-d930-4acb-9cb8-750fe82c15ce
329,Violin,"Mollenhauer, Friedrich",S,1855-56,1292,20a62563-d930-4acb-9cb8-750fe82c15ce
330,Soprano,"La Grange, Anna De",S,1856-57,3225,8272717c-edad-4fe4-8b49-c71359d923f7
331,Violin,"Doehler, William",S,1856-57,3225,8272717c-edad-4fe4-8b49-c71359d923f7
332,Piano,"Goldbeck, Robert",S,1856-57,3225,8272717c-edad-4fe4-8b49-c71359d923f7
336,Vocalist,Johannsen Scheerer,S,1856-57,3918,bee7a332-1347-4ce5-8986-0dfb7def7cc7
337,Clarinet,"Kiefer, Xavier",A,1856-57,3918,bee7a332-1347-4ce5-8986-0dfb7def7cc7
338,Piano,"Gottschalk, Louis Moreau",S,1856-57,3918,bee7a332-1347-4ce5-8986-0dfb7def7cc7
341,Piano,"Guyon, Emile",S,1856-57,3918,bee7a332-1347-4ce5-8986-0dfb7def7cc7
342,Vocalist,"Roode, Marie De",S,1856-57,5264,155929d1-665e-49a4-be19-b3f2b567e792
343,Violin,"Mollenhauer, Edward",S,1856-57,5264,155929d1-665e-49a4-be19-b3f2b567e792
346,Soprano,"Brainerd, Maria S.",S,1856-57,2244,5f86806e-b341-435e-8a7e-2154476cce73
347,Piano,"Timm, Henry C.",S,1856-57,2244,5f86806e-b341-435e-8a7e-2154476cce73
349,Soprano,"Milner, Annie",S,1857-58,4134,b1f54fbb-ed78-4e43-a9b9-ffe5e298069c
350,Cello,"Mollenhauer, Henry",S,1857-58,4134,b1f54fbb-ed78-4e43-a9b9-ffe5e298069c
353,Tenor,Labocetta,S,1857-58,4814,1ca8928b-00f5-4053-bc77-a5c0ceabf7c3
354,Piano,"Johnson-Gräver, Madeleine",S,1857-58,4814,1ca8928b-00f5-4053-bc77-a5c0ceabf7c3
355,Baritone,Gassier,S,1857-58,4814,1ca8928b-00f5-4053-bc77-a5c0ceabf7c3
356,Piano,Abella,A,1857-58,4814,1ca8928b-00f5-4053-bc77-a5c0ceabf7c3
357,Vocalist,"D'Angri, Elena",S,1857-58,6185,8ec580ef-391b-4ee7-b11f-e0f96d25ed4d
358,Clarinet,"Kiefer, Xavier",S,1857-58,6185,8ec580ef-391b-4ee7-b11f-e0f96d25ed4d
359,Piano,"Mason, William",S,1857-58,6185,8ec580ef-391b-4ee7-b11f-e0f96d25ed4d
363,Soprano,"Milner, Annie",S,1857-58,3150,3639f589-ae95-4465-b72b-fe1e9319d714
364,Violin,"Cooper, Henry C.",S,1857-58,3150,3639f589-ae95-4465-b72b-fe1e9319d714
367,Piano,"Timm, Henry C.",A,1858-59,2117,9801741e-ed73-4eb9-8727-f386788e35d2
368,Soprano,"Andem, Hattie",S,1858-59,2117,9801741e-ed73-4eb9-8727-f386788e35d2
369,Baritone,"Mayer, Philip",S,1858-59,2117,9801741e-ed73-4eb9-8727-f386788e35d2
370,Violin,"Mollenhauer, Edward",S,1858-59,2117,9801741e-ed73-4eb9-8727-f386788e35d2
